NAME,DLC,COVENANT,SCHOLAR
Transgressor's Leather Shield,0,0,1
Large Leather Shield,0,0,0
Blue Wooden Shield,0,0,0
Silver Eagle Kite Shield,0,0,0
Old Knight's Shield,0,0,0
Lion Clan Shield,0,0,0
Archdrake Shield,0,0,0
Mirrah Shield,0,0,0
Drangleic Shield,0,0,0
King's Shield,0,0,0
Spirit Tree Shield,0,0,0
Golden Wing Shield,0,0,0
Moon Butterfly Shield,0,0,0
Shield of the Insolent,0,0,0
Silverback Shield,0,0,0
Stone Parma,0,0,0
Grand Spirit Tree Shield,0,0,0
Slumbering Dragon Shield,0,0,0
Chaos Shield,0,0,0
Wooden Shield,0,0,0
Hollow Soldier Shield,0,0,0
Royal Kite Shield,0,0,0
Bone Shield,0,0,0
Drakekeeper's Shield,0,0,0
Porcine Shield,0,0,0
Bell Keeper Shield,0,0,0
Red Rust Shield,0,0,0
Defender's Shield,0,0,0
Black Dragon Shield,0,0,0
Watchdragon Parma,0,0,0
Blossom Kite Shield,0,0,0
Black Flamestone Parma,0,0,1
Yellow Quartz Shield,0,0,1
Bound Wooden Shield,0,0,1
Homunculus Wooden Shield,0,0,1
Loyce Shield,1,0,0
Sanctum Shield,1,0,0
Charred Loyce Shield,1,0,0
Rampart Golem Shield,1,0,0
Vessel Shield,1,0,0
Twin Dragon Greatshield,0,0,0
Tower Shield,0,0,0
Gyrm Greatshield,0,0,0
Old Knight Greatshield,0,0,0
Greatshield of Glory,0,0,0
Drakekeeper's Greatshield,0,0,0
Pate's Shield,0,0,0
Mastodon Greatshield,0,0,0
Havel's Greatshield,0,0,0
Pursuer's Greatshield,0,0,0
Reeve's Greatshield,0,0,0
Orma's Greatshield,0,0,0
Dragonrider Greatshield,0,0,0
King's Mirror,0,0,0
Rebel's Greatshield,0,0,0
Wicked Eye Greatshield,0,0,0
