NAME,DLC,COVENANT,SCHOLAR
Drangleic Mail,0,0,0
Drangleic Gauntlets,0,0,0
Drangleic Leggings,0,0,0
Lucatiel's Mask,0,0,0
Lucatiel's Vest,0,0,0
Lucatiel's Gloves,0,0,0
Lucatiel's Trousers,0,0,0
Velstadt's Helm,0,0,0
Velstadt's Armor,0,0,0
Velstadt's Gauntlets,0,0,0
Velstadt's Legging,0,0,0
Elite Knight Helm,0,0,0
Elite Knight Armor,0,0,0
Elite Knight Gloves,0,0,0
Elite Knight Leggings,0,0,0
Mad Warrior Mask,0,0,0
Mad Warrior Armor,0,0,0
Mad Warrior Gauntlets,0,0,0
Mad Warrior Leggings,0,0,0
Vengarl's Helm,0,0,0
Vengarl's Armor,0,0,0
Vengarl's Gloves,0,0,0
Vengarl's Boots,0,0,0
Executioner Helm,0,0,0
Executioner Armor,0,0,0
Executioner Gauntlets,0,0,0
Executioner Leggings,0,0,0
Manikin Mask,0,0,0
Manikin Top,0,0,0
Manikin Gloves,0,0,0
Manikin Boots,0,0,0
Wanderer Hood,0,0,0
Wanderer Coat,0,0,0
Wanderer Manchettes,0,0,0
Wanderer Boots,0,0,0
Falconer Helm,0,0,0
Falconer Armor,0,0,0
Falconer Gloves,0,0,0
Falconer Boots,0,0,0
Mastodon Helm,0,0,0
Mastodon Armor,0,0,0
Mastodon Gauntlets,0,0,0
Mastodon Leggings,0,0,0
White Hollow Mage Hood,0,0,0
White Hollow Mage Robe,0,0,0
Faraam Helm,0,0,0
Faraam Armor,0,0,0
Faraam Gauntlets,0,0,0
Faraam Boots,0,0,0
Monastery Headcloth,0,0,0
Monastery Longshirt,0,0,0
Monastery Long Gloves,0,0,0
Monastery Skirt,0,0,0
White Priest Headpiece,0,0,0
White Priest Robe,0,0,0
White Priest Gloves,0,0,0
White Priest Skirt,0,0,0
Xanthous Crown,0,1,0
Xanthous Overcoat,0,1,0
Xanthous Gloves,0,1,0
Xanthous Waistcloth,0,1,0
Singer's Dress,0,0,0
Heide Knight Iron Mask,0,0,0
Durgo's Hat,1,0,0
Engraved Gauntlets,0,0,0
Flying Feline Boots,0,0,0
Red Lion Warrior Cape,0,0,0
Warlock Mask,0,0,0
Drakeblood Helm,1,0,0
Drakeblood Armor,1,0,0
Drakeblood Gauntlets,1,0,0
Drakeblood Leggings,1,0,0
Sanctum Knight Helm,1,0,0
Sanctum Knight Armor,1,0,0
Sanctum Knight Gloves,1,0,0
Sanctum Knight Leggings,1,0,0
Sanctum Soldier Gauntlets,1,0,0
Crown of the Sunken King,1,0,0
Sanctum Priestess Tiara,1,0,0
Flower Skirt,1,0,0
Raime's Helm,1,0,0
Raime's Armor,1,0,0
Raime's Gauntlets,1,0,0
Raime's Leggings,1,0,0
Fume Sorcerer Mask,1,0,0
Fume Sorcerer Robes,1,0,0
Fume Sorcerer Gloves,1,0,0
Fume Sorcerer Boots,1,0,0
Alonne's Helm,1,0,0
Alonne's Armor,1,0,0
Alonne's Gauntlets,1,0,0
Alonne's Leggings,1,0,0
Crown of the Old Iron King,1,0,0
Minotaur Helm,1,0,0
Pharros Mask,1,0,0
Hollow Skin,1,0,0
Charred Loyce Helm,1,0,0
Charred Loyce Armor,1,0,0
Charred Loyce Gauntlets,1,0,0
Charred Loyce Leggings,1,0,0
Loyce Helm,1,0,0
Loyce Armor,1,0,0
Loyce Gauntlets,1,0,0
Loyce Leggings,1,0,0
Rampart Golem Helm,1,0,0
Rampart Golem Armor,1,0,0
Rampart Golem Gauntlets,1,0,0
Rampart Golem Leggings,1,0,0
Northwarder Hood,1,0,0
Northwarder Robe,1,0,0
Northwarder Manchettes,1,0,0
Northwarder Trousers,1,0,0
Ivory King Helm,1,0,0
Ivory King Chest,1,0,0
Ivory King Gloves,1,0,0
Ivory King Leggings,1,0,0
Crown of the Ivory King,1,0,0
Old Bell Helm,1,0,0
Symbol of Avarice,1,0,0
Retainer's Robe,1,0,0
Mirrah Hat,1,0,0
